,연도,학과,학생구분,응시자수,학과_1,학과_2,학과_3,학과_4,학생구분_1,학생구분_2,학생구분_3,학생구분_4,응시자수_1,응시자수_2,응시자수_3,응시자수_4
201,2016,비서사무행정과,재학생,24,사회복지과,산업경영과,세무회계과,스포츠지도과,재학생,재학생,재학생,재학생,40.0,33.0,38.0,19.0
202,2016,사회복지과,재학생,40,산업경영과,세무회계과,스포츠지도과,실내디자인과,재학생,재학생,재학생,재학생,33.0,38.0,19.0,23.0
203,2016,산업경영과,재학생,33,세무회계과,스포츠지도과,실내디자인과,언어재활과,재학생,재학생,재학생,재학생,38.0,19.0,23.0,26.0
204,2016,세무회계과,재학생,38,스포츠지도과,실내디자인과,언어재활과,유아교육과,재학생,재학생,재학생,재학생,19.0,23.0,26.0,38.0
205,2016,스포츠지도과,재학생,19,실내디자인과,언어재활과,유아교육과,의공융합과,재학생,재학생,재학생,재학생,23.0,26.0,38.0,21.0
206,2016,실내디자인과,재학생,23,언어재활과,유아교육과,의공융합과,자동차과,재학생,재학생,재학생,재학생,26.0,38.0,21.0,38.0
207,2016,언어재활과,재학생,26,유아교육과,의공융합과,자동차과,자동화시스템과,재학생,재학생,재학생,재학생,38.0,21.0,38.0,22.0
208,2016,유아교육과,재학생,38,의공융합과,자동차과,자동화시스템과,전기과,재학생,재학생,재학생,재학생,21.0,38.0,22.0,58.0
209,2016,의공융합과,재학생,21,자동차과,자동화시스템과,전기과,전자통신과,재학생,재학생,재학생,재학생,38.0,22.0,58.0,34.0
210,2016,자동차과,재학생,38,자동화시스템과,전기과,전자통신과,컴퓨터소프트웨어과,재학생,재학생,재학생,재학생,22.0,58.0,34.0,23.0
211,2016,자동화시스템과,재학생,22,전기과,전자통신과,컴퓨터소프트웨어과,토목환경과,재학생,재학생,재학생,재학생,58.0,34.0,23.0,51.0
212,2016,전기과,재학생,58,전자통신과,컴퓨터소프트웨어과,토목환경과,항공서비스과,재학생,재학생,재학생,재학생,34.0,23.0,51.0,10.0
213,2016,전자통신과,재학생,34,컴퓨터소프트웨어과,토목환경과,항공서비스과,호텔관광과,재학생,재학생,재학생,재학생,23.0,51.0,10.0,32.0
214,2016,컴퓨터소프트웨어과,재학생,23,토목환경과,항공서비스과,호텔관광과,호텔외식서비스과,재학생,재학생,재학생,재학생,51.0,10.0,32.0,34.0
215,2016,토목환경과,재학생,51,항공서비스과,호텔관광과,호텔외식서비스과,호텔조리과,재학생,재학생,재학생,재학생,10.0,32.0,34.0,15.0
216,2016,항공서비스과,재학생,10,호텔관광과,호텔외식서비스과,호텔조리과,기계과,재학생,재학생,재학생,신입생,32.0,34.0,15.0,41.0
217,2016,호텔관광과,재학생,32,호텔외식서비스과,호텔조리과,기계과,메카트로닉스과,재학생,재학생,신입생,신입생,34.0,15.0,41.0,39.0
218,2016,호텔외식서비스과,재학생,34,호텔조리과,기계과,메카트로닉스과,자동차과,재학생,신입생,신입생,신입생,15.0,41.0,39.0,58.0
219,2016,호텔조리과,재학생,15,기계과,메카트로닉스과,자동차과,전기과,신입생,신입생,신입생,신입생,41.0,39.0,58.0,41.0
220,2015,기계과,신입생,41,메카트로닉스과,자동차과,전기과,자동화시스템과,신입생,신입생,신입생,신입생,39.0,58.0,41.0,33.0
221,2015,메카트로닉스과,신입생,39,자동차과,전기과,자동화시스템과,산업경영과,신입생,신입생,신입생,신입생,58.0,41.0,33.0,40.0
222,2015,자동차과,신입생,58,전기과,자동화시스템과,산업경영과,의공융합과,신입생,신입생,신입생,신입생,41.0,33.0,40.0,33.0
223,2015,전기과,신입생,41,자동화시스템과,산업경영과,의공융합과,토목환경과,신입생,신입생,신입생,신입생,33.0,40.0,33.0,39.0
224,2015,자동화시스템과,신입생,33,산업경영과,의공융합과,토목환경과,건축과,신입생,신입생,신입생,신입생,40.0,33.0,39.0,77.0
225,2015,산업경영과,신입생,40,의공융합과,토목환경과,건축과,건축설비소방과,신입생,신입생,신입생,신입생,33.0,39.0,77.0,45.0
226,2015,의공융합과,신입생,33,토목환경과,건축과,건축설비소방과,실내디자인과,신입생,신입생,신입생,신입생,39.0,77.0,45.0,31.0
227,2015,토목환경과,신입생,39,건축과,건축설비소방과,실내디자인과,디지털전자과,신입생,신입생,신입생,신입생,77.0,45.0,31.0,37.0
228,2015,건축과,신입생,77,건축설비소방과,실내디자인과,디지털전자과,전자통신과,신입생,신입생,신입생,신입생,45.0,31.0,37.0,26.0
229,2015,건축설비소방과,신입생,45,실내디자인과,디지털전자과,전자통신과,방송음향영상과,신입생,신입생,신입생,신입생,31.0,37.0,26.0,27.0
230,2015,실내디자인과,신입생,31,디지털전자과,전자통신과,방송음향영상과,컴퓨터소프트웨어과,신입생,신입생,신입생,신입생,37.0,26.0,27.0,39.0
231,2015,디지털전자과,신입생,37,전자통신과,방송음향영상과,컴퓨터소프트웨어과,모바일인터넷과,신입생,신입생,신입생,신입생,26.0,27.0,39.0,35.0
232,2015,전자통신과,신입생,26,방송음향영상과,컴퓨터소프트웨어과,모바일인터넷과,경영과,신입생,신입생,신입생,신입생,27.0,39.0,35.0,46.0
233,2015,방송음향영상과,신입생,27,컴퓨터소프트웨어과,모바일인터넷과,경영과,세무회계과,신입생,신입생,신입생,신입생,39.0,35.0,46.0,38.0
234,2015,컴퓨터소프트웨어과,신입생,39,모바일인터넷과,경영과,세무회계과,사회복지과,신입생,신입생,신입생,신입생,35.0,46.0,38.0,53.0
235,2015,모바일인터넷과,신입생,35,경영과,세무회계과,사회복지과,호텔관광과,신입생,신입생,신입생,신입생,46.0,38.0,53.0,33.0
236,2015,경영과,신입생,46,세무회계과,사회복지과,호텔관광과,항공서비스과,신입생,신입생,신입생,신입생,38.0,53.0,33.0,36.0
237,2015,세무회계과,신입생,38,사회복지과,호텔관광과,항공서비스과,문헌정보과,신입생,신입생,신입생,신입생,53.0,33.0,36.0,33.0
238,2015,사회복지과,신입생,53,호텔관광과,항공서비스과,문헌정보과,비서사무행정과,신입생,신입생,신입생,신입생,33.0,36.0,33.0,36.0
239,2015,호텔관광과,신입생,33,항공서비스과,문헌정보과,비서사무행정과,유아교육과,신입생,신입생,신입생,신입생,36.0,33.0,36.0,36.0
240,2015,항공서비스과,신입생,36,문헌정보과,비서사무행정과,유아교육과,스포츠지도과,신입생,신입생,신입생,신입생,33.0,36.0,36.0,40.0
241,2015,문헌정보과,신입생,33,비서사무행정과,유아교육과,스포츠지도과,호텔조리과,신입생,신입생,신입생,신입생,36.0,36.0,40.0,27.0
242,2015,비서사무행정과,신입생,36,유아교육과,스포츠지도과,호텔조리과,호텔외식서비스과,신입생,신입생,신입생,신입생,36.0,40.0,27.0,27.0
243,2015,유아교육과,신입생,36,스포츠지도과,호텔조리과,호텔외식서비스과,언어재활과,신입생,신입생,신입생,신입생,40.0,27.0,27.0,33.0
244,2015,스포츠지도과,신입생,40,호텔조리과,호텔외식서비스과,언어재활과,중국비즈니스과,신입생,신입생,신입생,신입생,27.0,27.0,33.0,1.0
245,2015,호텔조리과,신입생,27,호텔외식서비스과,언어재활과,중국비즈니스과,기계과,신입생,신입생,신입생,재학생,27.0,33.0,1.0,20.0
246,2015,호텔외식서비스과,신입생,27,언어재활과,중국비즈니스과,기계과,메카트로닉스과,신입생,신입생,재학생,재학생,33.0,1.0,20.0,34.0
247,2015,언어재활과,신입생,33,중국비즈니스과,기계과,메카트로닉스과,자동차과,신입생,재학생,재학생,재학생,1.0,20.0,34.0,22.0
248,2015,중국비즈니스과,신입생,1,기계과,메카트로닉스과,자동차과,전기과,재학생,재학생,재학생,재학생,20.0,34.0,22.0,34.0
249,2015,기계과,재학생,20,메카트로닉스과,자동차과,전기과,자동화시스템과,재학생,재학생,재학생,재학생,34.0,22.0,34.0,47.0
250,2015,메카트로닉스과,재학생,34,자동차과,전기과,자동화시스템과,산업경영과,재학생,재학생,재학생,재학생,22.0,34.0,47.0,40.0
251,2015,자동차과,재학생,22,전기과,자동화시스템과,산업경영과,의공융합과,재학생,재학생,재학생,재학생,34.0,47.0,40.0,24.0
252,2015,전기과,재학생,34,자동화시스템과,산업경영과,의공융합과,토목환경과,재학생,재학생,재학생,재학생,47.0,40.0,24.0,41.0
